#Frame,AgentID,X,Y,Z,Time,
0,2001,48.7927,0.010207,9.46055,00:00:00,
0,2002,47.5626,0.010207,9.56101,00:00:00,
0,2003,41.4905,0.010207,9.56051,00:00:00,
0,2004,42.8451,0.010207,8.57676,00:00:00,
0,2005,48.4871,0.010207,7.56647,00:00:00,
0,2006,46.7246,0.010207,5.26281,00:00:00,
0,2007,45.6394,0.010207,5.22403,00:00:00,
1,2001,48.6776,0.010207,9.27934,00:00:00,
1,2002,47.5423,0.030207,9.67175,00:00:00,
1,2003,41.572,0.010207,9.54691,00:00:00,
1,2004,42.9318,0.010207,8.57676,00:00:00,
1,2005,48.3093,0.010207,7.59814,00:00:00,
1,2006,46.8823,0.010207,5.27259,00:00:00,
1,2007,45.7015,0.010207,5.22403,00:00:00,
1,2008,47.686,0.010207,8.59896,00:00:00,
1,2009,45.9958,0.010207,8.57286,00:00:00,
1,2010,43.861,0.010207,8.56748,00:00:00,
1,2011,47.9215,0.010207,6.60373,00:00:00,
1,2012,44.6628,0.010207,5.25,00:00:00,
1,2013,43.5925,0.010207,5.20662,00:00:00,
1,2014,44.436,0.010207,4.51876,00:00:00,
2,2001,48.5062,0.010207,9.05504,00:00:00,
2,2002,47.5207,0.030207,9.8593,00:00:00,
2,2003,41.6541,0.010207,9.53059,00:00:00,
2,2004,43.0429,0.010207,8.57676,00:00:00,
2,2005,48.1909,0.010207,7.59921,00:00:00,
2,2006,47.0671,0.010207,5.28621,00:00:00,
2,2007,45.7477,0.010207,5.22403,00:00:00,
2,2008,47.6564,0.010207,8.6491,00:00:00,
2,2009,46.1733,0.010207,8.61641,00:00:00,
2,2010,43.9752,0.010207,8.56748,00:00:00,
2,2011,47.9113,0.010207,6.69445,00:00:00,
2,2012,44.8001,0.010207,5.25,00:00:00,
2,2013,43.698,0.010207,5.20899,00:00:00,
2,2014,44.57,0.010207,4.53618,00:00:00,
2,2015,44.8957,0.010207,9.5605,00:00:00,
2,2016,42.4588,0.010207,9.56188,00:00:00,
2,2017,44.7677,0.010207,8.57339,00:00:00,
2,2018,46.5719,0.010207,5.35511,00:00:00,
2,2019,42.607,0.010207,5.40223,00:00:00,
2,2020,41.7039,0.010207,5.5859,00:00:00,
2,2021,48.4735,0.010207,4.58499,00:00:00,
2,2022,47.7804,0.010207,4.57666,00:00:00,
2,2023,46.8117,0.010207,4.55174,00:00:00,
2,2024,46.4613,0.010207,4.49167,00:00:00,
2,2025,45.7952,0.010207,4.51784,00:00:00,
2,2026,43.4004,0.010207,4.52161,00:00:00,
2,2027,42.6554,0.010207,4.51765,00:00:00,
3,2001,48.3685,0.010207,8.90096,00:00:00,
3,2002,47.4164,0.030207,10.0678,00:00:00,
3,2003,41.6799,0.010207,9.46929,00:00:00,
3,2004,43.1746,0.010207,8.57676,00:00:00,
3,2005,48.1785,0.010207,7.57442,00:00:00,
3,2006,47.2111,0.010207,5.32602,00:00:00,
3,2007,45.7921,0.010207,5.22403,00:00:00,
3,2008,47.6158,0.010207,8.71711,00:00:00,
3,2009,46.2527,0.010207,8.63818,00:00:00,
3,2010,44.1047,0.010207,8.56748,00:00:00,
3,2011,47.8642,0.010207,6.81664,00:00:00,
3,2012,44.9533,0.010207,5.25,00:00:00,
3,2013,43.8457,0.010207,5.21332,00:00:00,
3,2014,44.834,0.010207,4.5752,00:00:00,
3,2015,44.9159,0.010207,9.55849,00:00:00,
3,2016,42.6588,0.010207,9.56188,00:00:00,
3,2017,44.838,0.010207,8.57339,00:00:00,
3,2018,46.5558,0.010207,5.35511,00:00:00,
3,2019,42.6917,0.010207,5.39639,00:00:00,
3,2020,41.7292,0.010207,5.61738,00:00:00,
3,2021,48.4897,0.010207,4.67335,00:00:00,
3,2022,47.7412,0.010207,4.66957,00:00:00,
3,2023,46.9543,0.010207,4.57978,00:00:00,
3,2024,46.4222,0.010207,4.48256,00:00:00,
3,2025,45.7713,0.010207,4.51022,00:00:00,
3,2026,43.5366,0.010207,4.52211,00:00:00,
3,2027,42.7057,0.010207,4.51765,00:00:00,
3,2028,46.7045,0.010207,9.57095,00:00:00,
3,2029,45.4865,0.010207,9.55771,00:00:00,
3,2030,41.8818,0.010207,9.62659,00:00:00,
3,2031,48.8394,0.010207,8.50182,00:00:00,
3,2032,46.798,0.010207,8.57199,00:00:00,
3,2033,45.524,0.010207,8.56977,00:00:00,
3,2034,48.6607,0.010207,6.55688,00:00:00,
3,2035,41.4785,0.010207,6.65601,00:00:00,
3,2036,41.2395,0.010207,5.51647,00:00:00,
3,2037,48.9579,0.010207,4.55326,00:00:00,
3,2038,44.3776,0.010207,4.47955,00:00:00,
3,2039,41.7394,0.010207,4.57894,00:00:00,
4,2001,48.2259,0.010207,8.77743,00:00:00,
4,2002,47.4433,0.030207,10.3364,00:00:00,
4,2003,41.6605,0.010207,9.42814,00:00:00,
4,2004,43.3176,0.010207,8.57676,00:00:00,
4,2005,48.2019,0.010207,7.64119,00:00:00,
4,2006,47.3385,0.010207,5.36412,00:00:00,
4,2007,45.8485,0.010207,5.22403,00:00:00,
4,2008,47.5801,0.010207,8.79722,00:00:00,
4,2009,46.3934,0.010207,8.67459,00:00:00,
4,2010,44.2457,0.010207,8.56748,00:00:00,
4,2011,47.8535,0.010207,6.83295,00:00:00,
4,2012,45.1005,0.010207,5.25,00:00:00,
4,2013,44.0194,0.010207,5.21899,00:00:00,
4,2014,45.0264,0.010207,4.59725,00:00:00,
4,2015,44.9222,0.010207,9.55786,00:00:00,
4,2016,42.8361,0.010207,9.56366,00:00:00,
4,2017,44.8973,0.010207,8.57339,00:00:00,
4,2018,46.587,0.010207,5.35511,00:00:00,
4,2019,42.8012,0.010207,5.39055,00:00:00,
4,2020,41.7164,0.010207,5.68278,00:00:00,
4,2021,48.5159,0.010207,4.81583,00:00:00,
4,2022,47.7186,0.010207,4.80358,00:00:00,
4,2023,47.0812,0.010207,4.60728,00:00:00,
4,2024,46.4208,0.010207,4.48182,00:00:00,
4,2025,45.7719,0.010207,4.51022,00:00:00,
4,2026,43.6808,0.010207,4.53028,00:00:00,
4,2027,42.7972,0.010207,4.51765,00:00:00,
4,2028,46.8081,0.010207,9.58132,00:00:00,
4,2029,45.6958,0.010207,9.55309,00:00:00,
4,2030,42.1056,0.010207,9.65596,00:00:00,
4,2031,48.7098,0.010207,8.4312,00:00:00,
4,2032,46.9522,0.010207,8.57199,00:00:00,
4,2033,45.6699,0.010207,8.56977,00:00:00,
4,2034,48.4918,0.010207,6.5537,00:00:00,
4,2035,41.4785,0.010207,6.79343,00:00:00,
4,2036,41.2318,0.010207,5.55966,00:00:00,
4,2037,48.9604,0.010207,4.58693,00:00:00,
4,2038,44.3535,0.010207,4.45961,00:00:00,
4,2039,41.6936,0.010207,4.67718,00:00:00,
4,2040,43.6035,0.010207,9.56018,00:00:00,
4,2041,41.3535,0.010207,8.55886,00:00:00,
4,2042,47.7118,0.010207,7.54207,00:00:00,
4,2043,41.4504,0.010207,7.58857,00:00:00,
5,2001,48.0873,0.010207,8.70317,00:00:01,
5,2002,47.4196,-0.126374,10.6367,00:00:01,
5,2003,41.6605,0.010207,9.42814,00:00:01,
5,2004,43.4714,0.010207,8.57676,00:00:01,
5,2005,48.2247,0.010207,7.69056,00:00:01,
5,2006,47.4888,0.010207,5.414,00:00:01,
5,2007,45.9312,0.010207,5.22403,00:00:01,
5,2008,47.5562,0.010207,8.89192,00:00:01,
5,2009,46.5444,0.010207,8.70895,00:00:01,
5,2010,44.3829,0.010207,8.56748,00:00:01,
5,2011,47.7969,0.010207,6.85858,00:00:01,
5,2012,45.2425,0.010207,5.25,00:00:01,
5,2013,44.1994,0.010207,5.21899,00:00:01,
5,2014,45.1908,0.010207,4.62641,00:00:01,
5,2015,44.9722,0.010207,9.55285,00:00:01,
5,2016,43.0258,0.010207,9.56713,00:00:01,
5,2017,45.0298,0.010207,8.57339,00:00:01,
5,2018,46.6693,0.010207,5.35511,00:00:01,
5,2019,42.9273,0.010207,5.38471,00:00:01,
5,2020,41.6956,0.010207,5.77511,00:00:01,
5,2021,48.532,0.010207,5.03395,00:00:01,
5,2022,47.73,0.010207,4.89234,00:00:01,
5,2023,47.2231,0.010207,4.66646,00:00:01,
5,2024,46.4934,0.010207,4.48182,00:00:01,
5,2025,45.8198,0.010207,4.51022,00:00:01,
5,2026,43.8018,0.010207,4.54359,00:00:01,
5,2027,42.9143,0.010207,4.52635,00:00:01,
5,2028,46.975,0.010207,9.64179,00:00:01,
5,2029,45.8931,0.010207,9.54968,00:00:01,
5,2030,42.2913,0.010207,9.66618,00:00:01,
5,2031,48.5664,0.010207,8.30871,00:00:01,
5,2032,47.1026,0.010207,8.59548,00:00:01,
5,2033,45.8216,0.010207,8.56977,00:00:01,
5,2034,48.437,0.010207,6.54195,00:00:01,
5,2035,41.4785,0.010207,6.94461,00:00:01,
5,2036,41.2209,0.010207,5.61807,00:00:01,
5,2037,48.9226,0.010207,4.65171,00:00:01,
5,2038,44.3552,0.010207,4.46219,00:00:01,
5,2039,41.638,0.010207,4.7966,00:00:01,
5,2040,43.7684,0.010207,9.56018,00:00:01,
5,2041,41.4552,0.010207,8.54789,00:00:01,
5,2042,47.7142,0.010207,7.5454,00:00:01,
5,2043,41.4749,0.010207,7.69077,00:00:01,
6,2001,47.9822,0.010207,8.68538,00:00:01,
6,2002,47.3455,-0.126374,10.9467,00:00:01,
6,2003,41.6588,0.010207,9.43349,00:00:01,
6,2004,43.6322,0.010207,8.57676,00:00:01,
6,2005,48.2302,0.010207,7.74277,00:00:01,
6,2006,47.652,0.010207,5.49297,00:00:01,
6,2007,46.0198,0.010207,5.22403,00:00:01,
6,2008,47.5443,0.010207,9.06441,00:00:01,
6,2009,46.681,0.010207,8.73376,00:00:01,
6,2010,44.5198,0.010207,8.56748,00:00:01,
6,2011,47.7111,0.010207,6.88888,00:00:01,
6,2012,45.3763,0.010207,5.25,00:00:01,
6,2013,44.3692,0.010207,5.21899,00:00:01,
6,2014,45.3411,0.010207,4.66073,00:00:01,
6,2015,44.9739,0.010207,9.55269,00:00:01,
6,2016,43.2186,0.010207,9.57244,00:00:01,
6,2017,45.1788,0.010207,8.57339,00:00:01,
6,2018,46.7647,0.010207,5.35511,00:00:01,
6,2019,43.066,0.010207,5.37887,00:00:01,
6,2020,41.676,0.010207,5.86111,00:00:01,
6,2021,48.5144,0.010207,5.26379,00:00:01,
6,2022,47.7743,0.010207,4.98084,00:00:01,
6,2023,47.2775,0.010207,4.70061,00:00:01,
6,2024,46.628,0.010207,4.51363,00:00:01,
6,2025,45.8168,0.010207,4.50673,00:00:01,
6,2026,43.8657,0.010207,4.56067,00:00:01,
6,2027,43.0416,0.010207,4.54307,00:00:01,
6,2028,47.1971,0.030207,9.67704,00:00:01,
6,2029,46.0967,0.010207,9.57909,00:00:01,
6,2030,42.4771,0.010207,9.66618,00:00:01,
6,2031,48.3914,0.010207,8.21607,00:00:01,
6,2032,47.2343,0.010207,8.62439,00:00:01,
6,2033,45.975,0.010207,8.56977,00:00:01,
6,2034,48.3905,0.010207,6.53616,00:00:01,
6,2035,41.4785,0.010207,7.0946,00:00:01,
